Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Diana,205090,2.87:1,0.5287,0.0519,0,39.62,14446
Akshan,199732,2.82:1,0.4963,0.0506,0,63.67,15440
Wukong,198118,2.67:1,0.4905,0.0502,0,33.41,14348
Tryndamere,195912,2.91:1,0.5224,0.0496,0,55.14,14371
Nasus,195158,2.95:1,0.5076,0.0494,0,60.03,14167
Irelia,191683,2.42:1,0.495,0.0485,0,72.48,14678
Riven,191436,2.57:1,0.5056,0.0485,0,42.29,14095
Lissandra,190729,3.06:1,0.5334,0.0483,0,60.78,14376
Corki,189112,3.23:1,0.4784,0.0479,0,56.03,15008
Aphelios,188625,2.86:1,0.4784,0.0478,0,72.31,14625
Bard,188513,4.02:1,0.4543,0.0477,0,33.04,14132
Dr. Mundo,186854,2.86:1,0.518,0.0473,0,40.92,13361
Tahm Kench,185575,3.41:1,0.5196,0.047,0,27.21,13514
Illaoi,181819,2.5:1,0.5274,0.046,0,52.14,14080
Yuumi,181134,8.64:1,0.502,0.0459,0,6.4,12447
Warwick,180582,2.52:1,0.521,0.0457,0,32.57,13883
Taliyah,179132,3.18:1,0.5125,0.0454,0,55.18,14757
Kayn,177429,2.36:1,0.4882,0.0449,0,37.82,14541
Viego,175784,2.61:1,0.501,0.0445,0,32.66,14847
Braum,174496,4.04:1,0.5092,0.0442,0,14.9,12516
Vi,168911,2.33:1,0.4944,0.0428,0,31.39,14709
Kindred,166861,2.92:1,0.4661,0.0422,0,62.72,14930
Rumble,166336,2.93:1,0.511,0.0421,0,44.03,14665
Volibear,164440,2.83:1,0.5092,0.0416,0,34.74,13478
Talon,157232,2.7:1,0.4817,0.0398,0,47.22,15916
Singed,156657,2.74:1,0.5171,0.0397,0,45.98,13622
Alistar,153045,3.52:1,0.5075,0.0387,0,17.56,12799
Shyvana,152681,2.9:1,0.4954,0.0387,0,48.76,14304
Galio,152385,3.31:1,0.5304,0.0386,0,35.21,13293
Kennen,151331,2.89:1,0.5207,0.0383,0,38.55,14221
Cassiopeia,150345,3.23:1,0.4893,0.0381,0,51.09,14492
Azir,148140,2.8:1,0.4947,0.0375,0,60.76,14693
Renata Glasc,147347,4.38:1,0.5232,0.0373,0,19.69,12649
Ornn,146249,3.15:1,0.5074,0.037,0,32.94,13255
Rengar,145391,2.29:1,0.4694,0.0368,0,31.85,15247
Shen,141896,3.68:1,0.5308,0.0359,0,25.99,13624
Fiora,141859,2.53:1,0.5036,0.0359,0,39.25,13864
Naafiri,141758,2.39:1,0.4402,0.0359,0,45.85,14801
Kassadin,139472,2.63:1,0.4722,0.0353,0,35.53,14433
Poppy,138209,3.04:1,0.5206,0.035,0,27.75,13547
Qiyana,136829,2.59:1,0.4324,0.0346,0,32.6,14823
Bel'Veth,135346,2.52:1,0.4799,0.0343,0,51.51,14459
Gnar,135187,2.92:1,0.4837,0.0342,0,43.1,14037
Urgot,133554,2.77:1,0.5229,0.0338,0,67.18,14492
Rammus,132657,2.78:1,0.5298,0.0336,0,26.37,12968
Milio,131880,6.14:1,0.525,0.0334,0,18.4,12254
Sejuani,129404,3.19:1,0.511,0.0328,0,34.34,13513
Zac,123266,3.05:1,0.5111,0.0312,0,26.17,13287
Nocturne,121372,2.68:1,0.5012,0.0307,0,38.43,14919
Kalista,118576,3.09:1,0.4856,0.03,0,69.96,15204
Rakan,118412,4.29:1,0.5176,0.03,0,13.76,12144
K'Sante,118409,2.82:1,0.478,0.03,0,40.22,13434
Briar,117609,2.09:1,0.4127,0.041,0,33.42,13313
Xin Zhao,115370,2.44:1,0.5009,0.0292,0,37.43,14661
