Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Zilean,356883,4.63:1,0.4791,0.0527,0,44.49,12785
Syndra,346262,3.3:1,0.4798,0.0511,0,51.19,13625
Tryndamere,344970,2.89:1,0.5057,0.0509,0,49.37,13635
Renekton,344843,2.67:1,0.5098,0.0509,0,47.93,13305
Taliyah,341118,3.27:1,0.527,0.0504,0,53.26,13930
Jax,334429,2.22:1,0.4764,0.0494,0,28.5,13278
Azir,323422,2.93:1,0.5036,0.0478,0,58.82,13910
Wukong,319843,2.7:1,0.4799,0.0472,0,29.43,13546
Lissandra,318774,3.01:1,0.5224,0.0471,0,53.58,13334
Zyra,306187,3.63:1,0.5094,0.0452,0,50.94,13137
Akshan,301966,2.8:1,0.4744,0.0446,0,62.4,14593
Fiora,301773,2.61:1,0.5111,0.0446,0,38.95,13378
Singed,301327,2.83:1,0.5168,0.0445,0,38.56,12664
K'Sante,300974,2.95:1,0.5036,0.0444,0,38.94,12849
Malzahar,299097,3.47:1,0.5315,0.0442,0,80.77,13497
Talon,297542,2.76:1,0.4805,0.0439,0,46.98,14991
Diana,297361,2.87:1,0.5149,0.0439,0,36.2,13520
Illaoi,293423,2.45:1,0.5072,0.0433,0,46.19,13030
Galio,287837,3.26:1,0.5341,0.0425,0,29.57,12321
Kennen,286543,2.91:1,0.5146,0.0423,0,35.33,13256
Nasus,286447,2.97:1,0.4891,0.0423,0,54.67,13323
Nami,284832,5.57:1,0.5111,0.0421,0,11.77,11711
Tahm Kench,282670,3.38:1,0.5114,0.0417,0,21.58,12525
Riven,280559,2.68:1,0.5113,0.0414,0,39.1,13451
Bard,276173,4.14:1,0.4545,0.0408,0,31.42,13274
Kindred,269060,2.99:1,0.4703,0.0397,0,65.41,14208
Dr. Mundo,268978,2.82:1,0.4929,0.0397,0,33.35,12366
Braum,263797,4.09:1,0.5121,0.039,0,11.12,11669
Shyvana,260181,3.03:1,0.5016,0.0384,0,46.23,13521
Vi,256966,2.29:1,0.4778,0.0379,0,27.05,13867
Kayn,256539,2.32:1,0.4748,0.0379,0,35.16,13602
Kassadin,256059,2.77:1,0.4828,0.0378,0,33.79,13784
Zac,256016,3.03:1,0.5092,0.0378,0,23.18,12338
Cassiopeia,236480,3.34:1,0.4844,0.0349,0,49.11,13666
Sion,235952,2.48:1,0.5054,0.0348,0,38.59,13144
Poppy,235664,3.08:1,0.5257,0.0348,0,23.32,12643
Kalista,234760,3.09:1,0.4845,0.0347,0,70.49,14417
Shen,234110,3.6:1,0.5162,0.0346,0,21.01,12665
Ornn,232934,3.15:1,0.4989,0.0344,0,27.43,12327
Rakan,214452,4.23:1,0.5151,0.0317,0,11.52,11341
Renata Glasc,210576,4.36:1,0.5067,0.0311,0,17.34,11698
Gnar,203063,2.94:1,0.4857,0.03,0,42.03,13328
Bel'Veth,201793,2.53:1,0.4522,0.0298,0,45.5,13592
Rengar,201394,2.39:1,0.4731,0.0297,0,31.18,14099
Warwick,201249,2.49:1,0.4951,0.0297,0,29.01,12940
Volibear,200863,2.79:1,0.486,0.0297,0,27.53,12448
Milio,199606,6.24:1,0.5275,0.0295,0,16.18,11490
Sejuani,195983,3.2:1,0.5039,0.0289,0,28.33,12529
Gwen,195927,2.72:1,0.5001,0.0289,0,39.03,13397
Nocturne,191434,2.6:1,0.4786,0.0283,0,34.43,13803
Rammus,183919,2.73:1,0.5129,0.0272,0,20.42,11996
Naafiri,179983,2.41:1,0.4322,0.0266,0,43.04,13866
Xin Zhao,176905,2.4:1,0.49,0.0261,0,34.01,13830
Trundle,174994,3.23:1,0.4953,0.0258,0,29.3,12470
Camille,174960,2.54:1,0.502,0.0258,0,29.5,13283
Briar,172740,2.05:1,0.3963,0.0355,0,29.25,12376
Urgot,170634,2.66:1,0.4903,0.0252,0,59.38,13528
Nilah,170130,2.65:1,0.4838,0.0251,0,68.89,14171
Qiyana,165912,2.56:1,0.4273,0.0245,0,30.21,13820
Elise,165453,3.33:1,0.5133,0.0244,0,30.02,13476
Hecarim,132273,2.55:1,0.4214,0.0195,0,33.24,13009
Udyr,130860,2.73:1,0.4961,0.0193,0,31.06,12823
Taric,125694,4.12:1,0.505,0.0186,0,19.17,11548
Ivern,118649,4.86:1,0.5278,0.0175,0,11.73,11249
Evelynn,118517,3.1:1,0.4541,0.0175,0,19.73,13434
Rell,108732,3.68:1,0.5039,0.0161,0,13.01,11678
Olaf,106836,2.53:1,0.5009,0.0158,0,43.71,13469
Skarner,69637,3.1:1,0.5165,0.0103,0,22.98,12331
Rek'Sai,65186,2.75:1,0.4796,0.0096,0,20.54,13355
Yorick,56594,2.89:1,0.483,0.0084,0,53.55,12508
Kled,54352,3.2:1,0.4842,0.008,0,33.03,12958
