Champion,Games played,KDA,Win Rate,Pick Rate,Ban Rate,CS,Gold
Aphelios,168730,3.03:1,0.4817,0.0519,0,70.31,14327
Sion,168297,2.55:1,0.5385,0.0518,0,48.5,13873
Jax,168012,2.26:1,0.4953,0.0517,0,30.3,13704
Wukong,165465,2.72:1,0.4958,0.0509,0,31.88,13938
Illaoi,163086,2.56:1,0.5284,0.0502,0,49.38,13677
Riven,161011,2.61:1,0.5014,0.0495,0,40.27,13699
Lissandra,160179,3.14:1,0.5335,0.0493,0,57.68,13846
Tahm Kench,159082,3.36:1,0.5066,0.0489,0,25.42,13008
Bard,157625,4.1:1,0.4529,0.0485,0,31.45,13664
Gragas,157364,3.0:1,0.4681,0.0484,0,29.85,13335
Yuumi,157310,8.55:1,0.4996,0.0484,0,5.98,12002
Corki,157200,3.32:1,0.4823,0.0484,0,54.28,14556
Warwick,155663,2.55:1,0.5148,0.0479,0,30.42,13467
Irelia,155539,2.47:1,0.4854,0.0478,0,69.03,14287
Kindred,155319,3.02:1,0.4685,0.0478,0,60.62,14501
Diana,154407,2.92:1,0.5311,0.0475,0,37.93,13945
Taliyah,150640,3.34:1,0.5219,0.0463,0,53.57,14310
Dr. Mundo,150254,2.82:1,0.5006,0.0462,0,37.73,12857
Vi,146654,2.37:1,0.4894,0.0451,0,29.48,14165
Braum,145007,3.97:1,0.5017,0.0446,0,13.75,12077
Rumble,143626,2.98:1,0.5133,0.0442,0,41.71,14177
Volibear,142199,2.84:1,0.5058,0.0437,0,32.72,13049
Singed,141518,2.78:1,0.5177,0.0435,0,44.36,13178
Viego,139707,2.66:1,0.4862,0.043,0,31.71,14331
Kayn,137607,2.4:1,0.4867,0.0423,0,36.69,14020
Renata Glasc,134597,4.43:1,0.5206,0.0414,0,18.64,12198
Galio,131440,3.31:1,0.5345,0.0404,0,33.07,12817
Talon,129661,2.77:1,0.4845,0.0399,0,46.29,15453
Alistar,128771,3.48:1,0.5005,0.0396,0,16.02,12274
Shen,128586,3.63:1,0.52,0.0396,0,24.02,13110
Urgot,126718,2.77:1,0.5136,0.039,0,63.35,13990
Azir,126687,2.93:1,0.4987,0.039,0,58.9,14244
Fiora,126618,2.56:1,0.4967,0.0389,0,37.62,13519
Naafiri,126536,2.44:1,0.4314,0.0389,0,44.71,14301
Cassiopeia,124659,3.36:1,0.492,0.0383,0,47.67,14034
Ornn,123720,3.12:1,0.4987,0.0381,0,30.56,12767
Bel'Veth,123629,2.58:1,0.4732,0.038,0,49.34,14012
Kennen,123408,2.95:1,0.5224,0.038,0,36.94,13721
Poppy,121889,3.02:1,0.5171,0.0375,0,26.11,13105
Shyvana,120908,2.92:1,0.4898,0.0372,0,46.41,13796
Milio,120682,6.19:1,0.5199,0.0371,0,16.94,11852
Briar,118587,2.16:1,0.4074,0.05,0,32.06,12928
Rammus,115909,2.77:1,0.5173,0.0357,0,24.66,12499
Sejuani,115425,3.18:1,0.5085,0.0355,0,32.29,13021
Gnar,115273,2.98:1,0.4825,0.0355,0,40.1,13572
Gwen,112554,2.76:1,0.5093,0.0346,0,39.02,13651
K'Sante,108934,2.92:1,0.4839,0.0335,0,38.72,13081
Kassadin,106631,2.66:1,0.4646,0.0328,0,33.96,13912
Rengar,105433,2.32:1,0.4631,0.0324,0,30.36,14597
Nocturne,105426,2.67:1,0.4947,0.0324,0,37.1,14367
Qiyana,104937,2.63:1,0.4261,0.0323,0,31.61,14281
Kalista,104876,3.2:1,0.4861,0.0323,0,67.09,14804
Nilah,99562,2.67:1,0.5018,0.0306,0,67.14,14444
Xin Zhao,99470,2.49:1,0.5041,0.0306,0,35.86,14229
